code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
31268,Lalouret-Laffiteau,55.3,4.0,8.0,2.0,7.4,18.6,11.1,2.2,3373.0,13106.5,22630
31269,Lamasquère,49.9,3.0,8.0,2.0,8.2,18.8,11.5,3.3,3522.5,13496.0,25620
31270,Landorthe,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,25120
31271,Lanta,54.65,4.0,8.0,1.0,8.6,18.45,11.7,3.0,3556.0,13450.0,27130
31272,Lapeyrère,60.85,4.0,7.0,2.0,8.0,17.2,11.55,2.8,3664.0,13465.0,N/A - secret statistique
31273,Lapeyrouse-Fossat,51.6,3.0,9.0,1.0,4.6,12.4,11.3,3.6,3378.0,12998.5,30580
31274,Larcan,65.3,4.0,8.0,2.0,7.4,18.6,11.1,2.2,3373.0,13106.5,23100
31275,Laréole,53.2,4.0,8.0,1.0,9.9,17.7,12.2,3.2,3536.5,12600.5,23310
31276,Larroque,68.35,4.0,9.0,2.0,7.4,18.6,11.1,2.2,3373.0,13106.5,18950
31277,Lasserre-Pradère,51.7,3.0,8.0,1.0,8.4,18.1,11.3,3.6,3378.0,12998.5,27610
